Date,Close
01/11/2021,125.23
02/11/2021,127.63
03/11/2021,130.53
04/11/2021,137.5
05/11/2021,136.34
08/11/2021,150.16
09/11/2021,148.92
10/11/2021,139.87
11/11/2021,146.01
12/11/2021,147.89
15/11/2021,146.49
16/11/2021,152.45
17/11/2021,151.34
18/11/2021,155.02
19/11/2021,155.41
22/11/2021,152.52
23/11/2021,149.92
24/11/2021,157.8
26/11/2021,154.81
29/11/2021,161.91
30/11/2021,158.37
01/12/2021,149.11
02/12/2021,150.68
03/12/2021,144.01
06/12/2021,139.06
07/12/2021,144.85
08/12/2021,145.24
09/12/2021,138.1
10/12/2021,138.55
13/12/2021,133.8
14/12/2021,135.6
15/12/2021,146.5
16/12/2021,138.64
17/12/2021,137.75
20/12/2021,135.8
21/12/2021,144.25
22/12/2021,143.88
23/12/2021,146.14
27/12/2021,154.36
28/12/2021,153.15
29/12/2021,148.26
30/12/2021,145.15
31/12/2021,143.9
03/01/2022,150.24
04/01/2022,144.42
05/01/2022,136.15
06/01/2022,136.23
07/01/2022,132
10/01/2022,132
11/01/2022,137.31
12/01/2022,137.47
13/01/2022,132.74
14/01/2022,136.88
18/01/2022,131.93
19/01/2022,128.27
20/01/2022,121.89
21/01/2022,118.81
24/01/2022,116.53
25/01/2022,111.13
26/01/2022,110.71
27/01/2022,102.6
28/01/2022,105.24
31/01/2022,114.25
01/02/2022,116.78
02/02/2022,122.76
03/02/2022,120.08
04/02/2022,123.6
07/02/2022,123.67
08/02/2022,128.23
09/02/2022,132.85
10/02/2022,125.77
11/02/2022,113.18
14/02/2022,114.27
15/02/2022,121.47
16/02/2022,117.69
17/02/2022,112.37
18/02/2022,113.83
22/02/2022,115.65
23/02/2022,109.76
24/02/2022,116.61
25/02/2022,121.06
28/02/2022,123.34
