Date,Close
01/11/2021,402.86
02/11/2021,390.67
03/11/2021,404.62
04/11/2021,409.97
05/11/2021,407.36
08/11/2021,387.65
09/11/2021,341.17
10/11/2021,355.98
11/11/2021,354.5
12/11/2021,344.47
15/11/2021,337.8
16/11/2021,351.58
17/11/2021,363
18/11/2021,365.46
19/11/2021,379.02
22/11/2021,385.62
23/11/2021,369.68
24/11/2021,372
26/11/2021,360.64
29/11/2021,379
30/11/2021,381.59
01/12/2021,365
02/12/2021,361.53
03/12/2021,338.32
06/12/2021,336.34
07/12/2021,350.58
08/12/2021,356.32
09/12/2021,334.6
10/12/2021,339.01
13/12/2021,322.14
14/12/2021,319.5
15/12/2021,325.33
16/12/2021,308.97
17/12/2021,310.86
20/12/2021,299.98
21/12/2021,312.84
22/12/2021,336.29
23/12/2021,355.67
27/12/2021,364.65
28/12/2021,362.82
29/12/2021,362.06
30/12/2021,356.78
31/12/2021,352.26
03/01/2022,399.93
04/01/2022,383.2
05/01/2022,362.71
06/01/2022,354.9
07/01/2022,342.32
10/01/2022,352.71
11/01/2022,354.8
12/01/2022,368.74
13/01/2022,343.85
14/01/2022,349.87
18/01/2022,343.5
19/01/2022,331.88
20/01/2022,332.09
21/01/2022,314.63
24/01/2022,310
25/01/2022,306.13
26/01/2022,312.47
27/01/2022,276.37
28/01/2022,282.12
31/01/2022,312.24
01/02/2022,310.42
02/02/2022,301.89
03/02/2022,297.05
04/02/2022,307.77
07/02/2022,302.45
08/02/2022,307.33
09/02/2022,310.67
10/02/2022,301.52
11/02/2022,286.67
14/02/2022,291.92
15/02/2022,307.48
16/02/2022,307.8
17/02/2022,292.12
18/02/2022,285.66
22/02/2022,273.84
23/02/2022,254.68
24/02/2022,266.92
25/02/2022,269.96
28/02/2022,290.14
